dataset,model,labels,support,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
imdb_sentiment,base,negative|positive,10000,0.07,0.07,0.07,0.07,0.07,0.07,0.07
imdb_sentiment,f,negative|positive,10000,0.06,0.06,0.06,0.06,0.06,0.06,0.06
imdb_sentiment,t,negative|positive,10000,0.07,0.07,0.07,0.07,0.07,0.07,0.07
mental_sentiment,base,depression|normal,31747,0.9,0.9,0.9,0.9,0.9,0.9,0.9
mental_sentiment,f,depression|normal,31747,0.87,0.88,0.87,0.87,0.88,0.87,0.87
mental_sentiment,t,depression|normal,31747,0.91,0.91,0.91,0.91,0.91,0.91,0.91
news_sentiment,base,bearish|bullish|neutral,11931,0.78,0.73,0.78,0.75,0.8,0.78,0.79
news_sentiment,f,bearish|bullish|neutral,11931,0.75,0.72,0.74,0.71,0.79,0.75,0.76
news_sentiment,t,bearish|bullish|neutral,11931,0.8,0.74,0.77,0.76,0.8,0.8,0.8
fiqasa_sentiment,base,negative|neutral|positive,1173,0.76,0.63,0.67,0.63,0.81,0.76,0.77
fiqasa_sentiment,f,negative|neutral|positive,1173,0.79,0.63,0.65,0.64,0.8,0.79,0.79
fiqasa_sentiment,t,negative|neutral|positive,1173,0.7,0.62,0.67,0.61,0.82,0.7,0.73
imdb_sklearn,base,negative|positive,10000,0.92,0.93,0.92,0.92,0.93,0.92,0.92
imdb_sklearn,f,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
imdb_sklearn,t,negative|positive,10000,0.91,0.92,0.91,0.91,0.92,0.91,0.91
sst2,base,negative|positive,10000,0.76,0.82,0.78,0.75,0.84,0.76,0.75
sst2,f,negative|positive,10000,0.81,0.85,0.83,0.81,0.86,0.81,0.81
sst2,t,negative|positive,10000,0.71,0.8,0.74,0.7,0.82,0.71,0.69
